Categoria,Modelo,Tipo Origen,Costo Base Real ($),Precio de Lista (3 a 9 tanques),Flete 10% ($),Ganancia Zono ($),Margen (%),Corralon (10 a 19 u) [-8% OFF],Flete 10% [10u],Ganancia Zono [10u],Margen [10u],Distribuidor (20+ u) [-14% OFF],Flete 10% [20u],Ganancia Zono [20u],Margen [20u]
Tricapa Gris,AquaFort TRIC 300L Gris,Planta Zono,55672,79200,7920,15608,28.0%,73000,7300,10028,18.0%,68000,6800,5528,10.0%
Tricapa Gris,AquaFort TRIC 500L Gris,Planta Zono,65676,93400,9340,18384,28.0%,86100,8610,11814,18.0%,80300,8030,6594,10.0%
Tricapa Gris,AquaFort TRIC 600L Gris,Planta Zono,79078,112500,11250,22172,28.0%,103700,10370,14252,18.0%,96700,9670,7952,10.0%
Tricapa Gris,AquaFort TRIC 750L Gris,Planta Zono,92815,132000,13200,25985,28.0%,121700,12170,16715,18.0%,113400,11340,9245,10.0%
Tricapa Gris,AquaFort TRIC 1000L Gris,Terminado (Col E),109544,155800,15580,30676,28.0%,143600,14360,19696,18.0%,133900,13390,10966,10.0%
Tricapa Gris,AquaFort TRIC 1100L Gris,Terminado (Col E),153500,218300,21830,42970,28.0%,201300,20130,27670,18.0%,187600,18760,15340,10.0%
Tricapa Gris,AquaFort TRIC 1200L Gris,Terminado (Col E),153362,218100,21810,42928,28.0%,201100,20110,27628,18.0%,187400,18740,15298,10.0%
Tricapa Gris,AquaFort TRIC 3000L Gris,Terminado (Col E),314800,447700,44770,88130,28.0%,412700,41270,56630,18.0%,384800,38480,31520,10.0%
Tricapa Beige,AquaFort TRIC 300L Beige,Planta Zono,57491,81800,8180,16129,28.0%,75400,7540,10369,18.0%,70300,7030,5779,10.0%
Tricapa Beige,AquaFort TRIC 500L Beige,Planta Zono,68102,96900,9690,19108,28.0%,89300,8930,12268,18.0%,83200,8320,6778,10.0%
Tricapa Beige,AquaFort TRIC 600L Beige,Planta Zono,82413,117200,11720,23067,28.0%,108100,10810,14877,18.0%,100700,10070,8217,10.0%
Tricapa Beige,AquaFort TRIC 750L Beige,Planta Zono,97060,138000,13800,27140,28.0%,127300,12730,17510,18.0%,118600,11860,9680,10.0%
Tricapa Beige,AquaFort TRIC 1000L Beige,Terminado (Col E),125194,178100,17810,35096,28.0%,164100,16410,22496,18.0%,153000,15300,12506,10.0%
Tricapa Beige,AquaFort TRIC 1100L Beige,Terminado (Col E),161000,229000,22900,45100,28.0%,211100,21110,28990,18.0%,196800,19680,16120,10.0%
Tricapa Beige,AquaFort TRIC 1200L Beige,Terminado (Col E),174228,247800,24780,48792,28.0%,228400,22840,31332,18.0%,212900,21290,17382,10.0%
Tricapa Beige,AquaFort TRIC 3000L Beige,Terminado (Col E),314800,447700,44770,88130,28.0%,412700,41270,56630,18.0%,384800,38480,31520,10.0%
Bicapa,AquaFort BIC 300L,Planta Zono,47647,67800,6780,13373,28.0%,62500,6250,8603,18.0%,58200,5820,4733,10.0%
Bicapa,AquaFort BIC 500L,Planta Zono,58891,83800,8380,16529,28.0%,77200,7720,10589,18.0%,72000,7200,5909,10.0%
Bicapa,AquaFort BIC 600L,Planta Zono,70767,100600,10060,19773,28.0%,92800,9280,12753,18.0%,86500,8650,7083,10.0%
Bicapa,AquaFort BIC 750L,Planta Zono,84276,119900,11990,23634,28.0%,110500,11050,15174,18.0%,103000,10300,8424,10.0%
Bicapa,AquaFort BIC 1000L,Terminado (Col E),88500,125900,12590,24810,28.0%,116000,11600,15900,18.0%,108200,10820,8880,10.0%
Bicapa,AquaFort BIC 1200L,Terminado (Col E),132000,187700,18770,36930,28.0%,173100,17310,23790,18.0%,161300,16130,13170,10.0%
Cisternas,AquaFort Cisterna 500L,Planta Zono,61442,87400,8740,17218,28.0%,80600,8060,11098,18.0%,75100,7510,6148,10.0%
Cisternas,AquaFort Cisterna 600L,Planta Zono,74972,106600,10660,20968,28.0%,98300,9830,13498,18.0%,91600,9160,7468,10.0%
Cisternas,AquaFort Cisterna 750L,Planta Zono,94127,133900,13390,26383,28.0%,123400,12340,16933,18.0%,115000,11500,9373,10.0%
Biodigestores,BioFort 500L,Planta Zono,97484,138600,13860,27256,28.0%,127800,12780,17536,18.0%,119100,11910,9706,10.0%
Biodigestores,BioFort 600L,Planta Zono,111443,158500,15850,31207,28.0%,146100,14610,20047,18.0%,136200,13620,11137,10.0%
Biodigestores,BioFort 750L,Planta Zono,131793,187400,18740,36867,28.0%,172800,17280,23727,18.0%,161100,16110,13197,10.0%
Biodigestores,BioFort 1000L,Terminado (Col E),160898,228800,22880,45022,28.0%,211000,21100,29002,18.0%,196700,19670,16132,10.0%
Biodigestores,BioFort 700L Autolimpiable,Planta Zono,148782,211600,21160,41658,28.0%,195100,19510,26808,18.0%,181800,18180,14838,10.0%
Accesorios y Reventa,Tapa Fibrocemento 0,96m,Reventa (Col E),22640,32200,3220,6340,28.0%,29700,2970,4090,18.0%,27700,2770,2290,10.0%
Accesorios y Reventa,Tapa Fibrocemento 1,07m,Reventa (Col E),26160,37200,3720,7320,28.0%,34300,3430,4710,18.0%,32000,3200,2640,10.0%
Accesorios y Reventa,Tapa Fibrocemento 1,17m,Reventa (Col E),28320,40300,4030,7950,28.0%,37100,3710,5070,18.0%,34600,3460,2820,10.0%
Accesorios y Reventa,Base Tanque Reforzada 500/600L,Reventa (Col E),21500,30600,3060,6040,28.0%,28200,2820,3880,18.0%,26300,2630,2170,10.0%
Accesorios y Reventa,Base Tanque Reforzada 1000L,Reventa (Col E),32000,45500,4550,8950,28.0%,42000,4200,5800,18.0%,39100,3910,3190,10.0%
Accesorios y Reventa,Filtro Tanque Completo Universal,Reventa (Col E),25000,35600,3560,7040,28.0%,32800,3280,4520,18.0%,30600,3060,2540,10.0%
Accesorios y Reventa,Automático Tanque MP (1,5m),Reventa (Col E),7850,11200,1120,2230,28.0%,10300,1030,1420,18.0%,9600,960,790,10.0%
